dscd	AD:VAC	AG:VAC	A:VACS	O:VACS	BA:VAC	BN:VAC	B:VACS	BR:VAC	BL:VAC	C:VACS	CL:VAC	CN:VAC	CB:VAC	CR:VAC	CP:VAC	CZ:VAC	DK:VAC	DU:VAC	ED:VAC	EG:VAC	EO:VAC	M:VACS	F:VACS	D:VACS	G:VACS	K:VACS	H:VACS	HN:VAC	IN:VAC	ID:VAC	IR:VAC	IS:VAC	I:VACS	JM:VAC	J:VACS	JO:VAC	KN:VAC	KU:VAC	LV:VAC	LT:VAC	LX:VAC	L:VACS	MT:VAC	MX:VAC	MC:VAC	Z:VACS	NG:VAC	N:VACS	OM:VAC	PK:VAC	PE:VAC	PH:VAC	PO:VAC	P:VACS	QA:VAC	RM:VCS	RS:VAC	SA:VAC	T:VACS	SK:VAC	SV:VAC	R:VACS	KO:VAC	E:VACS	SL:VAC	W:VACS	S:VACS	TW:VAC	Q:VACS	TN:VAC	TK:VAC	U:VACS	VACS	VE:VAC
1980-01-01																																																																										
1980-01-02										0.0																																																														0.0		
1980-01-03										0.0																																																														0.0		
1980-01-04										0.0																																																														0.0		
1980-01-07										0.0																																																														0.0		
1980-01-08										0.0																																																														0.0		
1980-01-09										0.0																																																														0.0		
1980-01-10										0.0																																																														0.0		
1980-01-11										0.0																																																														0.0		
1980-01-14										0.0																																																														0.0		
