dscd	date_d	DPL#((X(RI)~U$),4)	DPL#((X(UP)~U$),4)	DPL#((X(UPA)~U$),4)	DPL#((X(UPB)~U$),4)	DPL#((X(UPH)~U$),4)	DPL#((X(UPL)~U$),4)
13479D	2001-07-04	66.1492	0.2646			0.2646	0.2646
13479D	2001-07-05	66.2031	0.2648				
13479D	2001-07-06	65.9059	0.2636				
13479D	2001-07-09	65.6857	0.2627				
13479D	2001-07-10	65.7826	0.2631				
13479D	2001-07-11	65.4337	0.2617				
13479D	2001-07-12	65.4768	0.2619				
13479D	2001-07-13	64.9856	0.2599				
13479D	2001-07-16	64.8973	0.2596				
13479D	2001-07-17	64.9656	0.2599				
