dscd	date_d	DPL#((X(UP#S)~U$),4)	DPL#(X(AF),4)	DPL#(X(CAI),4)	DPL#(X(NOSH),4)	DPL#(X(RI),4)	DPL#(X(UVO),4)
13479D	2001-07-04	0.2646	1.0	1.0	4160.0	100.0	4500.0
13479D	2001-07-05		1.0	1.0	4160.0	100.0	
13479D	2001-07-06		1.0	1.0	4160.0	100.0	
13479D	2001-07-09		1.0	1.0	4160.0	100.0	
13479D	2001-07-10		1.0	1.0	4160.0	100.0	
13479D	2001-07-11		1.0	1.0	4160.0	100.0	
13479D	2001-07-12		1.0	1.0	4160.0	100.0	
13479D	2001-07-13		1.0	1.0	4160.0	100.0	
13479D	2001-07-16		1.0	1.0	4160.0	100.0	
13479D	2001-07-17		1.0	1.0	4160.0	100.0	
