gvkey,cik,ein,conm,costat,dlrsn,priusa,prican,prirow,idbflag,fic,loc,incorp,state,county,city,naics,conml,weburl,phone,fax,add1,add2,add3,add4,addzip,busdesc,ipodate,dldte,stko,fyrc,sic,gsector,ggroup,gind,gsubind,spcindcd,spcseccd
1000,,,A & E PLASTIK PAK INC,I,9.0,1,,,D,USA,USA,,,,,,A & E Plastik Pak Inc,,,,,,,,,A & E Plastik Pak Inc. is a commodity chemicals company. It is headquartered in the United States.,,1978-06-30,0,12,3089,,,,,325,978
1001,723576.0,73-0934497,A & M FOOD SERVICES INC,I,1.0,1,,,D,USA,USA,,OK,,Tulsa,722.0,A & M Food Services Inc,,,,1924 South Utica Avenue,,,,94104,,,1986-07-31,0,12,5812,25.0,2530.0,253010.0,25301040.0,420,978
1002,1306124.0,,AAI CORP,I,1.0,1,,,D,USA,USA,,MD,,Hunt Valley,,AAI Corp,www.textronsystems.com,410-666-1400,410-628-3215,124 Industry Lane,,,,21030-0126,"Textron Systems Corporation designs, develops, manufactures, and supports aerospace and defense technologies. It offers unmanned aircraft systems, micro air vehicles, remote video terminals, ground control stations, and portable ground control stations.",,1977-03-31,0,12,3825,,,,,230,940
1003,730052.0,43-1232041,A.A. IMPORTING CO INC,I,7.0,1,,,D,USA,USA,DE,MO,,St. Louis,442110.0,A.A. Importing Co Inc,www.aaimporting.com,314-383-8800,314-383-2608,7700 Hall Street,,,,63125,"A.A. Importing Company, Inc. designs, manufactures, and supplies antique reproductions and furniture items. The company's products are made of wood, iron, porcelain, bronze, crystal, glass, and stained glass.",,1992-04-30,3,1,5712,25.0,2550.0,255040.0,25504040.0,449,976
1004,1750.0,36-2334820,AAR CORP,A,,1,,,D,USA,USA,DE,IL,,Wood Dale,423860.0,AAR Corp,www.aarcorp.com,630 227 2000,630 227 2039,"One AAR Place, 1100 North Wood Dale Road",,,,60191,"AAR Corp. provides products and services to commercial aviation, government, and defense markets worldwide. It operates through Aviation Services and Expeditionary Services segments.",1972-04-24,,0,5,5080,20.0,2010.0,201010.0,20101010.0,110,925
1005,,,A.B.A. INDUSTRIES INC,I,1.0,1,,,D,USA,USA,,FL,,Pinellas Park,,A.B.A. Industries Inc,,727-546-3571,813-544-0096,10260 US Highway 19 North,,,,33782,"A.B.A. Industries Inc. was acquired by McSwain Manufacturing Corporation. A.B.A. Industries Inc. manufactures aircraft engine and advanced components for engines and industrial gas turbines. The company is based in Pinellas Park, Florida.",,1983-01-31,0,10,3724,,,,,110,925
1006,,,ABC INDS INC,I,1.0,1,,,D,USA,USA,,IN,,Winona Lake,,ABC Industries Inc,www.abc-industries.net,574-267-5166,574-267-2045,301 Kings Highway,,,,46590,"ABC Industries, Inc. manufactures and supplies industrial ventilation products and industrial textile fabrics.",,1983-06-30,3,6,2711,,,,,415,976
1007,1882.0,23-1602523,ABKCO INDUSTRIES INC,I,10.0,1,,,D,USA,USA,,NY,,New York,334612.0,ABKCO Industries Inc,www.abkco.com,212-399-0300,212-582-5090,"1700 Broadway, Suite 41",,,,10019,"ABKCO Music & Records, Inc. operates as an entertainment company serving customers in the United States and internationally.",,1986-12-31,3,9,3652,25.0,2540.0,254010.0,25401030.0,220,925
1008,,,ABM COMPUTER SYSTEMS INC,I,4.0,1,,,D,USA,USA,CA,CA,,Irvine,334119.0,ABM Computer Systems Inc,,,,3 Whatney,,,,92714,"ABM Computer Systems Inc. was acquired by Franklin Telecommunications Corp. ABM Computer Systems Inc. is a technology hardware, storage and peripherals company. It is based in Irvine, California.",,1987-10-31,0,5,3577,45.0,4520.0,452020.0,45202020.0,188,940
1009,313368.0,34-0074580,ABS INDUSTRIES INC,I,7.0,1,,,D,USA,USA,DE,OH,,Willoughby,3321.0,ABS Industries Inc,,216 946 2274,,"Interstate Square, Suite 300",,,,44904,"ABS Industries, Inc., through Colfor and Colmach, operates exclusively in the cold and warm forging industry and the machining of forged components. The company was incorporated in 1979 and is based in Willoughby, Ohio.",,1996-12-31,3,10,3460,15.0,1510.0,151040.0,15104020.0,355,925
