gvkey,hadd1,hadd2,hadd3,hadd4,haddzip,hbusdesc,hcik,hcity,hconm,hconml,hcostat,hcounty,hdlrsn,hein,hfax,hfic,hggroup,hgind,hgsector,hgsubind,hidbflag,hincorp,hloc,hnaics,hphone,hprican,hprirow,hpriusa,hstate,hweburl,hipodate,hdldte,hchgdt,hchgenddt,hstko,hfyrc,hsic,hspcindcd,hspcseccd
1000,,,,,,,,,A & E PLASTIK PAK INC,A & E Plastik Pak Inc,I,,9,,,USA,,,,,D,,USA,,,,,1,,,,1978-06-30,2007-04-14,2023-08-11,0,12,3089,325,978
1000,,,,,,A & E Plastik Pak Inc. is a commodity chemicals company. It is headquartered in the United States.,,,A & E PLASTIK PAK INC,A & E Plastik Pak Inc,I,,9,,,USA,,,,,D,,USA,,,,,1,,,,1978-06-30,2023-08-12,,0,12,3089,325,978
1001,1924 SOUTH UTICA AVENUE,,,,74104,,,TULSA,A & M FOOD SERVICES INC,A & M Food Services Inc,I,Tulsa,1,73-0934497,,USA,2530.0,253010.0,25.0,25301040.0,D,,USA,722.0,918-749-4423,,,1,OK,,,1986-07-31,2007-04-14,2011-02-11,0,12,5812,420,978
1001,1924 SOUTH UTICA AVENUE,,,,74104,,723576.0,TULSA,A & M FOOD SERVICES INC,A & M Food Services Inc,I,Tulsa,1,73-0934497,,USA,2530.0,253010.0,25.0,25301040.0,D,,USA,722.0,918-749-4423,,,1,OK,,,1986-07-31,2011-02-12,2012-03-09,0,12,5812,420,978
1001,1924 South Utica Avenue,,,,94104,,723576.0,Tulsa,A & M FOOD SERVICES INC,A & M Food Services Inc,I,,1,73-0934497,,USA,2530.0,253010.0,25.0,25301040.0,D,,USA,722.0,,,,1,OK,,,1986-07-31,2012-03-10,,0,12,5812,420,978
1002,BOX 6767,,,,21204,,,BALTIMORE,AAI CORP,AAI Corp,I,Baltimore (Ind. City),1,,,USA,,,,,D,,USA,,301-666-1400,,,1,MD,,,1977-03-31,2007-04-14,2010-01-08,0,12,3825,230,940
1002,BOX 6767,,,,21204,"AAI Corporation, along with its subsidiaries, designs, develops, manufactures, and supports aerospace and defense technologies. It offers unmanned aircraft systems, micro air vehicles, remote video terminals, ground control stations, and portable ground control stations.",,BALTIMORE,AAI CORP,AAI Corp,I,Baltimore (Ind. City),1,,,USA,,,,,D,,USA,,301-666-1400,,,1,MD,,,1977-03-31,2010-01-09,2011-02-11,0,12,3825,230,940
1002,BOX 6767,,,,21204,"AAI Corporation, along with its subsidiaries, designs, develops, manufactures, and supports aerospace and defense technologies. It offers unmanned aircraft systems, micro air vehicles, remote video terminals, ground control stations, and portable ground control stations.",1745.0,BALTIMORE,AAI CORP,AAI Corp,I,Baltimore (Ind. City),1,,,USA,,,,,D,,USA,,301-666-1400,,,1,MD,,,1977-03-31,2011-02-12,2012-12-07,0,12,3825,230,940
1002,124 Industry Lane,,,,21030-0126,"AAI Corporation, along with its subsidiaries, designs, develops, manufactures, and supports aerospace and defense technologies. It offers unmanned aircraft systems, micro air vehicles, remote video terminals, ground control stations, and portable ground control stations.",1745.0,Hunt Valley,AAI CORP,AAI Corp,I,,1,,410-628-3215,USA,,,,,D,,USA,,410-666-1400,,,1,MD,www.aaicorp.com,,1977-03-31,2012-12-08,2014-12-12,0,12,3825,230,940
1002,124 Industry Lane,,,,21030-0126,"AAI Corporation, together with its subsidiaries, designs, develops, manufactures, and supports aerospace and defense technologies. It offers unmanned aircraft systems, micro air vehicles, remote video terminals, ground control stations, and portable ground control stations.",1745.0,Hunt Valley,AAI CORP,AAI Corp,I,,1,,410-628-3215,USA,,,,,D,,USA,,410-666-1400,,,1,MD,,,1977-03-31,2014-12-13,2022-03-11,0,12,3825,230,940
