permno,hdrcusip,permco,siccd,nasdissuno,yyyymm,mthcaldt,mthcompflg,mthcompsubflg,mthprc,mthprcflg,mthprcdt,mthdtflg,mthdelflg,mthcap,mthprevprc,mthprevprcflg,mthprevdt,mthprevdtflg,mthprevcap,mthret,mthretx,mthretflg,mthdiscnt,mthvol,mthvolflg,mthprcvol,mthfacshrflg,mthprcvolmisscnt,cusip,ticker,issuernm,usincflg,issuertype,securitytype,securitysubtype,sharetype,exchangetier,primaryexch,tradingstatusflg,conditionaltype,shrout,mthfloatshrqty
10000,68391610,7952,3990,10396,198601,1986-01-31,Y,Y1,4.375,BA,1986-01-31,PE,N,16100.0,2.5625,BA,1986-01-07,NS,9430.0,0.707317,0.707317,NS,0,177082,NS,634127.4,N,0,68391610,OMFGA,OPTIMUM MANUFACTURING INC,Y,ACOR,EQTY,COM,NS,SC1,Q,A,RW,3680,
10000,68391610,7952,3990,10396,198602,1986-02-28,G,G1,3.25,BA,1986-02-28,PE,N,11960.0,4.375,BA,1986-01-31,PE,16100.0,-0.257143,-0.257143,CR,0,82800,CV,319106.3,N,0,68391610,OMFGA,OPTIMUM MANUFACTURING INC,Y,ACOR,EQTY,COM,NS,SC1,Q,A,RW,3680,
10000,68391610,7952,3990,10396,198603,1986-03-31,G,G1,4.4375,BA,1986-03-31,PE,N,16330.0,3.25,BA,1986-02-28,PE,11960.0,0.365385,0.365385,CR,0,107801,CV,445447.3,N,0,68391610,OMFGA,OPTIMUM MANUFACTURING INC,Y,ACOR,EQTY,COM,NS,SC1,Q,A,RW,3680,
10000,68391610,7952,3990,10396,198604,1986-04-30,G,G1,4.0,BA,1986-04-30,PE,N,15172.0,4.4375,BA,1986-03-31,PE,16330.0,-0.098592,-0.098592,CR,0,95700,CV,399359.1,N,0,68391610,OMFGA,OPTIMUM MANUFACTURING INC,Y,ACOR,EQTY,COM,NS,SC1,Q,A,RW,3793,
10000,68391610,7952,3990,10396,198605,1986-05-30,G,G1,3.109375,BA,1986-05-30,PE,N,11793.86,4.0,BA,1986-04-30,PE,15172.0,-0.222656,-0.222656,CR,0,107362,CV,402398.9,N,0,68391610,OMFGA,OPTIMUM MANUFACTURING INC,Y,ACOR,EQTY,COM,NS,SC1,Q,A,RW,3793,
10000,68391610,7952,3990,10396,198606,1986-06-30,G,G1,3.09375,BA,1986-06-30,PE,N,11734.59,3.109375,BA,1986-05-30,PE,11793.86,-0.005025,-0.005025,CR,0,106862,CV,327985.6,N,0,68391610,OMFGA,OPTIMUM MANUFACTURING INC,Y,ACOR,EQTY,COM,NS,SC1,Q,A,RW,3793,
10000,68391610,7952,3990,10396,198607,1986-07-31,G,G1,2.84375,BA,1986-07-31,PE,N,10786.34,3.09375,BA,1986-06-30,PE,11734.59,-0.080808,-0.080808,CR,0,116305,CV,350905.9,N,0,68391610,OMFGA,OPTIMUM MANUFACTURING INC,Y,ACOR,EQTY,COM,NS,SC1,Q,A,RW,3793,
10000,68391610,7952,3990,10396,198608,1986-08-29,G,G1,1.09375,BA,1986-08-29,PE,N,4148.59,2.84375,BA,1986-07-31,PE,10786.34,-0.615385,-0.615385,CR,0,304906,CV,451219.2,N,0,68391610,OMFGA,OPTIMUM MANUFACTURING INC,Y,ACOR,EQTY,COM,NS,SC1,Q,A,RW,3793,
10000,68391610,7952,3990,10396,198609,1986-09-30,G,G1,1.03125,BA,1986-09-30,PE,N,3911.53,1.09375,BA,1986-08-29,PE,4148.59,-0.057143,-0.057143,CR,0,355100,CV,389516.1,N,0,68391610,OMFGA,OPTIMUM MANUFACTURING INC,Y,ACOR,EQTY,COM,NS,SC1,Q,A,RW,3793,
10000,68391610,7952,3990,10396,198610,1986-10-31,G,G1,0.78125,BA,1986-10-31,PE,N,3002.34,1.03125,BA,1986-09-30,PE,3911.53,-0.242424,-0.242424,CR,0,190321,CV,161349.0,N,0,68391610,OMFGA,OPTIMUM MANUFACTURING INC,Y,ACOR,EQTY,COM,NS,SC1,Q,A,RW,3843,
